state,plan,age,profile,rank,carrier,monthly_rate,rate_type,household_discount,latest_increase_pct,latest_increase_date,state_low,state_high,state_spread,carriers_quoting,as_of
NJ,N,70,F non-tobacco,2,"HealthSpring National Health Ins Co",117.64,attained age,no,6.9,2025-08-01,117.22,245.00,127.78,19,2026-07-15
NJ,N,70,F non-tobacco,3,"Bankers Fidelity Assur Co",120.43,attained age,no,6.9,2026-02-01,117.22,245.00,127.78,19,2026-07-15
NJ,N,70,F non-tobacco,4,"Insurance Co of N Amer",123.07,attained age,no,,,117.22,245.00,127.78,19,2026-07-15
NJ,N,70,F non-tobacco,5,"Humana Insurance Company",125.78,attained age,yes,13.18,2025-08-01,117.22,245.00,127.78,19,2026-07-15
NJ,N,75,F non-tobacco,1,"Medico Ins Co",135.30,attained age,no,9,2026-05-01,135.30,294.00,158.70,19,2026-07-15
NJ,N,75,F non-tobacco,2,"AARP Medicare Supplement Insurance Plans, insured by United Healthcare Insurance Company of America",137.09,community rated,yes,7.11,2025-08-01,135.30,294.00,158.70,19,2026-07-15
NJ,N,75,F non-tobacco,3,"HealthSpring National Health Ins Co",139.72,attained age,no,6.9,2025-08-01,135.30,294.00,158.70,19,2026-07-15
NJ,N,75,F non-tobacco,4,"Bankers Fidelity Assur Co",143.10,attained age,no,6.9,2026-02-01,135.30,294.00,158.70,19,2026-07-15
NJ,N,75,F non-tobacco,5,"Insurance Co of N Amer",146.13,attained age,no,,,135.30,294.00,158.70,19,2026-07-15
OH,G,65,F non-tobacco,1,"Physicians Mutual (PSIC)",117.08,attained age,yes,24.11,2025-10-01,117.08,342.84,225.76,32,2026-07-15
OH,G,65,F non-tobacco,2,"UnitedHealthcare Ins Co",118.17,community rated,no,14.07,2025-06-01,117.08,342.84,225.76,32,2026-07-15
OH,G,65,F non-tobacco,3,"Atlantic Capital Life Assur Co",135.52,attained age,no,11.99,2026-01-01,117.08,342.84,225.76,32,2026-07-15
OH,G,65,F non-tobacco,4,"Insurance Co of N Amer",141.86,attained age,no,,,117.08,342.84,225.76,32,2026-07-15
OH,G,65,F non-tobacco,5,"HealthSpring Ins Co",142.94,attained age,no,18,2026-04-01,117.08,342.84,225.76,32,2026-07-15
OH,G,70,F non-tobacco,1,"Physicians Mutual (PSIC)",124.91,attained age,yes,24.11,2025-10-01,124.91,364.54,239.63,32,2026-07-15
OH,G,70,F non-tobacco,2,"UnitedHealthcare Ins Co",129.99,community rated,no,14.07,2025-06-01,124.91,364.54,239.63,32,2026-07-15
OH,G,70,F non-tobacco,3,"Atlantic Capital Life Assur Co",142.38,attained age,no,11.99,2026-01-01,124.91,364.54,239.63,32,2026-07-15
OH,G,70,F non-tobacco,4,"Insurance Co of N Amer",146.19,attained age,no,,,124.91,364.54,239.63,32,2026-07-15
OH,G,70,F non-tobacco,5,"HealthSpring Ins Co",146.54,attained age,no,18,2026-04-01,124.91,364.54,239.63,32,2026-07-15
OH,G,75,F non-tobacco,1,"Physicians Mutual (PSIC)",142.86,attained age,yes,24.11,2025-10-01,142.86,433.25,290.39,32,2026-07-15
OH,G,75,F non-tobacco,2,"Medico Life and Health Ins Co",158.23,attained age,no,9,2026-02-01,142.86,433.25,290.39,32,2026-07-15
OH,G,75,F non-tobacco,3,"UnitedHealthcare Ins Co",159.54,community rated,no,14.07,2025-06-01,142.86,433.25,290.39,32,2026-07-15
OH,G,75,F non-tobacco,4,"Atlantic Capital Life Assur Co",169.17,attained age,no,11.99,2026-01-01,142.86,433.25,290.39,32,2026-07-15
OH,G,75,F non-tobacco,5,"Insurance Co of N Amer",174.46,attained age,no,,,142.86,433.25,290.39,32,2026-07-15
OH,N,65,F non-tobacco,1,"Atlantic Capital Life Assur Co",102.31,attained age,no,8.01,2026-01-01,102.31,277.27,174.96,31,2026-07-15
OH,N,65,F non-tobacco,2,"HealthSpring Ins Co",103.37,attained age,no,18.01,2026-04-01,102.31,277.27,174.96,31,2026-07-15
OH,N,65,F non-tobacco,3,"UnitedHealthcare Ins Co",104.29,community rated,no,11.16,2025-06-01,102.31,277.27,174.96,31,2026-07-15
OH,N,65,F non-tobacco,4,"Humana Insurance Company",106.71,attained age,yes,8.02,2026-04-01,102.31,277.27,174.96,31,2026-07-15
OH,N,65,F non-tobacco,5,"Insurance Co of N Amer",107.50,attained age,no,,,102.31,277.27,174.96,31,2026-07-15
OH,N,70,F non-tobacco,1,"Atlantic Capital Life Assur Co",107.49,attained age,no,8.01,2026-01-01,107.49,322.00,214.51,31,2026-07-15
OH,N,70,F non-tobacco,2,"Insurance Co of N Amer",110.15,attained age,no,,,107.49,322.00,214.51,31,2026-07-15
OH,N,70,F non-tobacco,3,"Humana Insurance Company",110.81,attained age,yes,8.02,2026-04-01,107.49,322.00,214.51,31,2026-07-15
OH,N,70,F non-tobacco,4,"HealthSpring Ins Co",112.98,attained age,no,18.01,2026-04-01,107.49,322.00,214.51,31,2026-07-15
OH,N,70,F non-tobacco,5,"UnitedHealthcare Ins Co",114.74,community rated,no,11.16,2025-06-01,107.49,322.00,214.51,31,2026-07-15
OH,N,75,F non-tobacco,1,"Medico Life and Health Ins Co",122.86,attained age,no,9.01,2026-02-01,122.86,369.00,246.14,31,2026-07-15
OH,N,75,F non-tobacco,2,"Atlantic Capital Life Assur Co",127.72,attained age,no,8.01,2026-01-01,122.86,369.00,246.14,31,2026-07-15
OH,N,75,F non-tobacco,3,"Insurance Co of N Amer",130.82,attained age,no,,,122.86,369.00,246.14,31,2026-07-15
OH,N,75,F non-tobacco,4,"Humana Insurance Company",136.75,attained age,yes,8.02,2026-04-01,122.86,369.00,246.14,31,2026-07-15
OH,N,75,F non-tobacco,5,"HealthSpring Ins Co",137.45,attained age,no,18.01,2026-04-01,122.86,369.00,246.14,31,2026-07-15
NC,G,65,F non-tobacco,1,"Physicians Mutual (PSIC)",97.09,attained age,yes,14.99,2025-11-01,97.09,315.20,218.11,29,2026-07-15
NC,G,65,F non-tobacco,2,"Atlantic Capital Life Assur Co",101.84,attained age,no,4.9,2025-08-01,97.09,315.20,218.11,29,2026-07-15
NC,G,65,F non-tobacco,3,"Medico Ins Co",112.26,attained age,yes,4,2025-09-01,97.09,315.20,218.11,29,2026-07-15
NC,G,65,F non-tobacco,4,"MedMutual Protect",113.59,attained age,no,20,2025-11-01,97.09,315.20,218.11,29,2026-07-15
NC,G,65,F non-tobacco,5,"UnitedHealthcare Ins Co",116.80,community rated,yes,12.71,2026-06-01,97.09,315.20,218.11,29,2026-07-15
NC,G,70,F non-tobacco,1,"Physicians Mutual (PSIC)",103.60,attained age,yes,14.99,2025-11-01,103.60,346.90,243.30,29,2026-07-15
NC,G,70,F non-tobacco,2,"Atlantic Capital Life Assur Co",106.99,attained age,no,4.9,2025-08-01,103.60,346.90,243.30,29,2026-07-15
NC,G,70,F non-tobacco,3,"Medico Ins Co",113.39,attained age,yes,4,2025-09-01,103.60,346.90,243.30,29,2026-07-15
NC,G,70,F non-tobacco,4,"MedMutual Protect",121.09,attained age,no,20,2025-11-01,103.60,346.90,243.30,29,2026-07-15
NC,G,70,F non-tobacco,5,"HealthSpring Ins Co",122.30,attained age,yes,15,2026-04-01,103.60,346.90,243.30,29,2026-07-15
NC,G,75,F non-tobacco,1,"Physicians Mutual (PSIC)",118.47,attained age,yes,14.99,2025-11-01,118.47,412.34,293.87,29,2026-07-15
NC,G,75,F non-tobacco,2,"Medico Ins Co",120.92,attained age,yes,4,2025-09-01,118.47,412.34,293.87,29,2026-07-15
NC,G,75,F non-tobacco,3,"Atlantic Capital Life Assur Co",127.12,attained age,no,4.9,2025-08-01,118.47,412.34,293.87,29,2026-07-15
NC,G,75,F non-tobacco,4,"MedMutual Protect",142.09,attained age,no,20,2025-11-01,118.47,412.34,293.87,29,2026-07-15
NC,G,75,F non-tobacco,5,"HealthSpring Ins Co",146.29,attained age,yes,15,2026-04-01,118.47,412.34,293.87,29,2026-07-15
